Nombre,Provincia,Término_M,Duchas,Aseos,Acceso_dis,Bandera_az,Longitud,X,Y,Grado_ocup,Grado_urba
La Gaviota,Almería,Adra,No,No,No,No,500 metros,-338511.439599998,4403941.9551,Bajo,Aislada
Los Muertos,Almería,Carboneras,No,No,No,No,1.160 metros,-211351.185199998,4432543.6864,Bajo,Aislada
Cabezo Negro,Almería,Cuevas del Almanzora,No,No,No,No,50 metros,-190078.030499998,4481775.5274,Bajo,Aislada
Cala Cristal,Almería,Cuevas del Almanzora,No,No,No,No,170 metros,-193540.0667,4478193.381,Bajo,Aislada
Cala de la Dolores,Almería,Cuevas del Almanzora,No,Sí,No,No,150 metros,-196456.637400001,4474556.5104,Bajo,Aislada
Cala Invencible,Almería,Cuevas del Almanzora,No,No,No,No,400 metros,-195443.629999999,4476136.996,Bajo,Aislada
Cala Panizo,Almería,Cuevas del Almanzora,Sí,No,No,No,750 metros,-189176.342700001,4483972.9939,Medio,Semiurbana
El Calón,Almería,Cuevas del Almanzora,Sí,No,No,No,500 metros,-189911.0513,4482321.352,Bajo,Semiurbana
Embarcadero Viejo,Almería,Cuevas del Almanzora,No,No,No,No,100 metros,-192738.566399999,4478948.8886,Bajo,Aislada
Villaricos,Almería,Cuevas del Almanzora,Sí,Sí,Sí,No,550 metros,-196946.443100002,4473997.1033,Medio,Urbana
Levante Almerimar,Almería,El Ejido,Sí,Sí,Sí,Sí,1.000 metros,-309813.274799999,4396206.542,Medio / Alto,Urbana
Poniente Almerimar,Almería,El Ejido,Sí,Sí,Sí,Sí,1.950 metros,-312017.400699999,4397775.3914,Medio / Alto,Urbana
Balerma,Almería,El Ejido,Sí,Sí,Sí,Sí,2.090 metros,-321089.939199999,4401038.7817,Medio / Alto,Urbana
Playa Casablanca,Castellón/Castelló,Almenara,Sí,Sí,Sí,Sí,2.610 metros,-20193.3555999994,4827464.1708,Medio,Urbana
Cerrillos,Almería,El Ejido,No,No,No,No,4.500 metros,-298169.256099999,4396275.9552,Bajo,Aislada
Los Baños,Almería,El Ejido,Sí,Sí,No,No,3.000 metros,-316403.388700001,4397122.8331,Bajo,Aislada
Piedra del Moro,Almería,El Ejido,No,No,No,No,3.000 metros,-318306.952,4397428.281,Medio,Aislada
El Palmer,Almería,Enix,Sí,Sí,No,No,700 metros,-281371.144900002,4414547.3413,Medio,Semiurbana
Garrucha,Almería,Garrucha,Sí,Sí,Sí,No,1.500 metros,-202746.1886,4464100.5064,Alto,Urbana
Curumbico,Granada,Almuñécar,Sí,No,No,No,214 metros,-406160.294100001,4403594.6439,Medio,Aislada
El Muerto,Granada,Almuñécar,No,No,No,No,400 metros,-414130.7696,4401830.4779,Medio,Aislada
La Herradura,Granada,Almuñécar,Sí,Sí,Sí,No,2.050 metros,-416924.888900001,4402358.308,Alto,Urbana
Los Berengueles,Granada,Almuñécar,Sí,Sí,No,No,250 metros,-415021.325599998,4400580.4581,Alto,Semiurbana
Pozuelo,Granada,Almuñécar,Sí,Sí,Sí,No,226 metros,-407562.9197,4403733.567,Alto,Urbana
Puerta del Mar,Granada,Almuñécar,Sí,Sí,Sí,Sí,1.140 metros,-410379.3028,4401608.2414,Alto,Urbana
San Cristóbal,Granada,Almuñécar,Sí,Sí,Sí,Sí,1.050 metros,-411592.6853,4401622.1311,Alto,Urbana
Tesorillo,Granada,Almuñécar,Sí,No,Sí,No,90 metros,-407774.4267,4403427.9386,Alto,Urbana
Velilla,Granada,Almuñécar,Sí,Sí,Sí,Sí,1.470 metros,-408286.496399999,4402872.2729,Alto,Urbana
La Rijana,Granada,Gualchos,No,No,No,No,250 metros,-377495.525199998,4398705.7031,Medio,Aislada
Castell de Ferro,Granada,Gualchos,Sí,No,Sí,No,1.300 metros,-373821.982000001,4400330.4717,Alto,Urbana
Cambriles,Granada,Lújar,Sí,No,Sí,No,850 metros,-372942.5581,4401552.683,Bajo,Urbana
Azucenas,Granada,Motril,No,No,No,No,2.100 metros,-389807.460900001,4399080.6277,Bajo,Aislada
Calahonda,Granada,Motril,Sí,Sí,Sí,Sí,1.400 metros,-380167.193,4397386.6285,Alto,Urbana
El Varador,Barcelona,Mataró,Sí,Sí,Sí,No,765 metros,272565.773200002,5091428.4964,Alto,Urbana
El Callao,Barcelona,Mataró,Sí,Sí,Sí,No,400 metros,273267.085999999,5092082.8473,Alto,Urbana
Sant Simó,Barcelona,Mataró,Sí,Sí,No,No,1.000 metros,274079.7183,5092752.1158,Alto,Urbana
Les Moreres,Barcelona,Montgat,Sí,Sí,No,No,160 metros,253463.3486,5081083.77,Medio,Semiurbana
Sant Joan,Barcelona,Montgat,Sí,Sí,Sí,No,584 metros,253886.3627,5081276.8886,Medio,Urbana
Pla de Montgat,Barcelona,Montgat,Sí,Sí,No,No,1.095 metros,254843.710299999,5081826.5551,Medio,Semiurbana
Playa del Pins,Barcelona,Pineda de Mar,Sí,No,No,No,490 metros,300351.118099999,5104717.5731,Alto,Urbana
Platja de Ponent,Barcelona,Premià de Mar,Sí,Sí,Sí,No,310 metros,261444.956099998,5084248.4327,Bajo,Semiurbana
La Descàrrega,Barcelona,Premià de Mar,Sí,Sí,No,No,340 metros,261823.442299999,5084382.1738,Bajo,Urbana
Pla de l'Os,Barcelona,Premià de Mar,Sí,Sí,Sí,No,580 metros,262535.8871,5084664.5221,Alto,Urbana
Les Barques,Barcelona,Sant Andreu de Llavaneres,Sí,Sí,Sí,No,180 metros,278387.782600001,5094760.2008,Alto,Semiurbana
El Balís,Barcelona,Sant Andreu de Llavaneres,No,No,No,No,50 metros,279300.602400001,5095280.8838,Bajo,Semiurbana
Roques Blanques,Barcelona,Sant Pol de Mar,Sí,Sí,No,No,419 metros,289018.793900002,5099953.4169,Medio,Aislada
La Murtra,Barcelona,Sant Pol de Mar,Sí,Sí,No,No,1.258 metros,289675.578899998,5100295.7619,Medio,Aislada
Can Villar,Barcelona,Sant Pol de Mar,Sí,Sí,Sí,No,788 metros,291033.6767,5100891.1734,Medio,Semiurbana
Platja de les Barques,Barcelona,Sant Pol de Mar,Sí,Sí,Sí,Sí,347 metros,292135.739700001,5101427.0753,Alto,Urbana
Les Escaletes,Barcelona,Sant Pol de Mar,Sí,No,No,No,225 metros,292402.906500001,5101441.9619,Medio,Urbana
La Platjola,Barcelona,Sant Pol de Mar,Sí,No,Sí,No,114 metros,292636.6774,5101620.6028,Alto,Semiurbana
El Morer,Barcelona,Sant Pol de Mar,Sí,Sí,Sí,No,270 metros,292825.920499999,5101769.4728,Medio,Aislada
Platja de L'Home Mort,Barcelona,Sitges,No,Sí,No,No,275 metros,196657.012400001,5044964.367,Alto,Aislada
Platja de la Desenrocada,Barcelona,Sitges,No,Sí,No,No,100 metros,196311.921999998,5044845.9704,Alto,Aislada
Les Coves,Barcelona,Sitges,No,No,No,No,500 metros,197580.964200001,5045319.5655,Alto,Aislada
Les Anquines,Barcelona,Sitges,Sí,Sí,Sí,No,160 metros,199039.249499999,5045556.3717,Alto,Urbana
Terramar,Barcelona,Sitges,Sí,Sí,Sí,No,395 metros,199284.152399998,5045881.9898,Alto,Urbana
La Barra,Barcelona,Sitges,Sí,Sí,Sí,Sí,390 metros,199640.3748,5046148.4127,Alto,Urbana
La Riera Xica,Barcelona,Sitges,Sí,Sí,Sí,No,320 metros,199974.333299998,5046385.2392,Alto,Urbana
L'Estanyol,Barcelona,Sitges,Sí,Sí,Sí,No,365 metros,200397.3473,5046622.0715,Alto,Urbana
Macenas,Almería,Mojácar,No,No,No,No,965 metros,-205985.5858,4450528.7475,Medio,Aislada
Cueva del Lobo,Almería,Mojácar,Sí,Sí,No,No,334 metros,-204894.654800002,4455022.8113,Medio,Urbana
El Cantal,Almería,Mojácar,Sí,Sí,Sí,No,780 metros,-203915.043200001,4456572.4501,Alto,Urbana
El Descargador,Almería,Mojácar,Sí,Sí,Sí,Sí,583 metros,-203492.029199999,4458527.2736,Alto,Urbana
El Sombrerico,Almería,Mojácar,No,No,No,No,335 metros,-206764.8222,4447124.579,Bajo,Aislada
La Rumina,Almería,Mojácar,Sí,No,Sí,No,596 metros,-203069.015099999,4460021.5612,Alto,Urbana
La Granatilla,Almería,Mojácar,No,No,No,No,420 metros,-207399.3433,4445548.4293,Bajo,Aislada
Marina de la Torre,Almería,Mojácar,Sí,Sí,Sí,Sí,1.840 metros,-203057.883200001,4461097.0205,Alto,Urbana
Aguamarga,Almería,Níjar,Sí,Sí,Sí,Sí,550 metros,-215336.423,4430593.6535,Alto,Urbana
Ancón de Cabo de Gata,Almería,Níjar,No,No,No,No,450 metros,-244301.754500002,4400844.339,Bajo,Aislada
Cala Arena,Almería,Níjar,No,No,No,No,70 metros,-243110.635899998,4400247.1442,Bajo,Aislada
Calas del Barronal,Almería,Níjar,No,No,No,No,500 metros,-238168.0506,4401497.1249,Bajo,Aislada
Cala Carbón,Almería,Níjar,No,No,No,No,150 metros,-240082.7458,4401511.0144,Bajo,Aislada
Cala Chica,Almería,Níjar,No,No,No,No,225 metros,-236687.5013,4401872.1477,Bajo,Aislada
Cala de Enmedio,Almería,Níjar,No,No,No,No,130 metros,-216661.124899998,4429771.9613,Medio,Aislada
Cala de la Media Luna,Almería,Níjar,No,No,No,No,185 metros,-239559.544199999,4401705.4693,Alto,Aislada
Cala de la Polacra,Almería,Níjar,No,No,No,No,120 metros,-222750.301100001,4417676.7669,Bajo,Aislada
Cala de los Amarillos,Almería,Níjar,No,No,No,No,100 metros,-235874.868999999,4402427.7612,Bajo,Aislada
Cala de Mónsul,Almería,Níjar,No,No,No,No,300 metros,-238913.891100001,4401622.1311,Alto,Aislada
Cala del Carnaje,Almería,Níjar,No,No,No,No,400 metros,-224063.871100001,4416188.4364,Bajo,Aislada
Cala del Cuervo,Almería,Níjar,No,No,No,No,130 metros,-222995.204,4421349.8007,Bajo,Aislada
Cala del Plomo,Almería,Níjar,No,No,No,No,260 metros,-217618.472600002,4428365.4832,Bajo,Aislada
Cala Higuera,Almería,Níjar,No,No,No,No,220 metros,-233236.597100001,4406345.6586,Bajo,Aislada
Cala Príncipe,Almería,Níjar,No,No,No,No,120 metros,-236375.8068,4401983.2681,Bajo,Aislada
Cala Rajá,Almería,Níjar,No,No,No,No,120 metros,-242353.663400002,4400747.1189,Bajo,Aislada
Cala San Pedro,Almería,Níjar,No,No,No,No,225 metros,-220323.536200002,4425622.6906,Bajo,Aislada
El Arco,Almería,Níjar,No,No,No,No,350 metros,-229529.658100002,4412197.4001,Bajo,Aislada
El Embarcadero,Almería,Níjar,No,No,No,No,320 metros,-229574.185899999,4410390.1059,Bajo,Aislada
Las Negras,Almería,Níjar,Sí,Sí,Sí,No,650 metros,-223095.3915,4422198.6747,Alto,Urbana
Los Genoveses,Almería,Níjar,No,No,No,No,1.180 metros,-236186.5636,4403677.9976,Alto,Aislada
Peñón Blanco,Almería,Níjar,Sí,No,No,No,240 metros,-228216.088100001,4413573.9299,Bajo,Aislada
Playazo de Rodalquilar,Almería,Níjar,No,No,No,No,400 metros,-223217.842900001,4419429.6475,Bajo,Aislada
San José,Almería,Níjar,Sí,Sí,Sí,Sí,850 metros,-234539.0352,4406053.8506,Alto,Urbana
La Carolina,Almería,Pulpí,No,No,No,No,1.000 metros,-182697.548300002,4491324.5465,Medio,Aislada
La Entrevista,Almería,Pulpí,No,No,No,No,1.000 metros,-187295.043299999,4487627.1232,Bajo,Aislada
Los Nardos,Almería,Pulpí,Sí,Sí,Sí,Sí,500 metros,-188129.939399999,4486254.9258,Bajo,Aislada
Mar Rabiosa,Almería,Pulpí,Sí,Sí,Sí,Sí,250 metros,-185491.6675,4489111.5384,Alto,Urbana
Mar Serena,Almería,Pulpí,Sí,Sí,Sí,Sí,700 metros,-186070.528900001,4488999.4998,Alto,Semiurbana
Aguadulce,Almería,Roquetas de Mar,Sí,Sí,Sí,Sí,1.700 metros,-286324.862300001,4412253.014,Alto,Urbana
Cerrillos,Almería,Roquetas de Mar,No,No,Sí,No,2.620 metros,-294384.393399999,4398039.2029,Muy bajo,Aislada
La Bajadilla,Almería,Roquetas de Mar,Sí,Sí,Sí,Sí,1.520 metros,-290521.607099999,4403803.0293,Alto,Urbana
La Romanilla,Almería,Roquetas de Mar,Sí,Sí,Sí,Sí,1.300 metros,-289976.141600002,4406331.7628,Alto,Urbana
Las Salinas,Almería,Roquetas de Mar,Sí,Sí,Sí,Sí,1.350 metros,-289274.8288,4408041.0818,Medio,Urbana
Los Bajos,Almería,Roquetas de Mar,No,No,No,No,700 metros,-288551.252099998,4409236.3784,Medio,Aislada
Playa Serena,Almería,Roquetas de Mar,Sí,Sí,Sí,Sí,1.800 metros,-292358.378699999,4400399.9118,Medio,Urbana
Urbanización Roquetas de Mar,Almería,Roquetas de Mar,Sí,Sí,Sí,Sí,1.900 metros,-291178.392099999,4401899.9277,Alto,Urbana
El Playazo,Almería,Vera,Sí,Sí,Sí,No,2.260 metros,-200519.798799999,4470319.7407,Alto,Urbana
Las Marinas-Bolaga,Almería,Vera,Sí,Sí,Sí,No,1.375 metros,-202022.611900002,4465986.853,Alto,Urbana
Puerto Rey,Almería,Vera,Sí,Sí,Sí,No,1.320 metros,-201287.903299998,4468572.3944,Alto,Urbana
Cala Arenas,Cádiz,Algeciras,No,No,No,No,400 metros,-606323.870499998,4309155.8333,Bajo,Aislada
El Rinconcillo,Cádiz,Algeciras,Sí,Sí,Sí,No,2.550 metros,-605466.7104,4323238.6241,Alto,Urbana
Getares,Cádiz,Algeciras,Sí,Sí,Sí,Sí,1.500 metros,-605878.592500001,4314086.859,Alto,Semiurbana
